iter	Passed	Remaining
401	13902	159013
402	13936	158971
403	13975	158986
404	14008	158940
405	14043	158910
406	14077	158868
407	14114	158858
408	14150	158833
409	14186	158823
410	14227	158852
411	14259	158793
412	14293	158748
413	14327	158710
414	14362	158684
415	14396	158635
416	14432	158623
417	14465	158566
418	14499	158526
419	14532	158475
420	14566	158432
421	14599	158380
422	14635	158364
423	14669	158320
424	14701	158257
425	14733	158195
426	14768	158164
427	14801	158117
428	14837	158095
429	14875	158100
430	14908	158042
431	14940	157981
432	14979	157990
433	15011	157935
434	15048	157921
435	15081	157875
436	15114	157818
437	15147	157767
438	15181	157723
439	15213	157671
440	15249	157647
441	15282	157600
442	15315	157542
443	15348	157494
444	15382	157452
445	15418	157430
446	15449	157367
447	15485	157342
448	15519	157304
449	15551	157238
450	15583	157185
451	15617	157140
452	15653	157119
453	15688	157088
454	15720	157032
455	15753	156982
456	15788	156953
457	15821	156907
458	15855	156864
459	15889	156824
460	15925	156799
461	15958	156748
462	15992	156708
463	16024	156648
464	16058	156613
465	16092	156575
466	16131	156579
467	16164	156530
468	16197	156485
469	16231	156442
470	16264	156398
471	16299	156364
472	16335	156347
473	16368	156298
474	16401	156242
475	16435	156204
476	16468	156153
477	16506	156154
478	16540	156113
479	16573	156063
480	16606	156020
481	16639	155965
482	16672	155917
483	16709	155907
484	16745	155892
485	16779	155846
486	16812	155798
487	16848	155775
488	16879	155712
489	16916	155699
490	16949	155656
491	16990	155676
492	17023	155626
493	17056	155582
494	17090	155538
495	17128	155536
496	17162	155495
497	17195	155453
498	17230	155418
499	17264	155378
500	17298	155342
501	17333	155314
502	17369	155288
503	17402	155238
504	17435	155194
505	17469	155153
506	17501	155099
507	17536	155065
508	17571	155032
509	17604	154985
510	17639	154957
511	17673	154918
512	17708	154885
513	17745	154873
514	17779	154837
515	17812	154791
516	17847	154756
517	17880	154707
518	17913	154666
519	17957	154710
520	18010	154833
521	18052	154865
522	18086	154823
523	18119	154775
524	18152	154730
525	18186	154693
526	18219	154636
527	18252	154590
528	18287	154562
529	18319	154509
530	18356	154494
531	18391	154460
532	18425	154417
533	18458	154373
534	18492	154337
535	18526	154292
536	18559	154248
537	18599	154257
538	18631	154205
539	18665	154167
540	18699	154125
541	18732	154079
542	18765	154026
543	18800	153999
544	18835	153964
545	18869	153930
546	18903	153891
547	18936	153845
548	18980	153883
549	19014	153842
550	19048	153802
551	19084	153781
552	19118	153740
553	19151	153692
554	19187	153670
555	19221	153634
556	19256	153604
557	19291	153567
558	19326	153536
559	19362	153520
560	19399	153501
561	19435	153478
562	19469	153439
563	19502	153389
564	19535	153342
565	19568	153295
566	19603	153265
567	19639	153241
568	19672	153194
569	19708	153173
570	19741	153124
571	19775	153083
572	19811	153065
573	19846	153028
574	19880	152990
575	19913	152949
576	19945	152895
577	19987	152911
578	20023	152892
579	20057	152848
580	20090	152802
581	20123	152760
582	20156	152715
583	20191	152680
584	20225	152643
